Snapshot_Date,ProductID,Quantity_On_Hand,Average_Days_In_Stock
2023-01-07,FIT-502,74,42
2023-01-07,FIT-503,62,25
2023-01-07,FIT-601,81,32
2023-01-08,FIT-101,149,122
2023-01-08,FIT-102,20,51
2023-01-08,FIT-103,19,42
2023-01-08,FIT-201,115,42
2023-01-08,FIT-202,110,54
2023-01-08,FIT-203,10,36
2023-01-08,FIT-204,141,39
2023-01-08,FIT-205,121,54
2023-01-08,FIT-301,67,52
2023-01-08,FIT-302,146,57
2023-01-08,FIT-303,95,21
2023-01-08,FIT-304,56,36
2023-01-08,FIT-401,198,92
2023-01-08,FIT-402,31,27
2023-01-08,FIT-501,135,46
2023-01-08,FIT-502,71,44
2023-01-08,FIT-503,62,21
2023-01-08,FIT-601,75,31
2023-01-09,FIT-101,151,123
2023-01-09,FIT-102,28,56
2023-01-09,FIT-103,24,38
2023-01-09,FIT-201,118,40
2023-01-09,FIT-202,108,54
2023-01-09,FIT-203,20,38
2023-01-09,FIT-204,145,41
2023-01-09,FIT-205,121,48
2023-01-09,FIT-301,66,52
2023-01-09,FIT-302,139,60
2023-01-09,FIT-303,101,21
2023-01-09,FIT-304,57,38
2023-01-09,FIT-401,203,92
2023-01-09,FIT-402,27,28
2023-01-09,FIT-501,140,44
2023-01-09,FIT-502,81,43
2023-01-09,FIT-503,57t,21
2023-01-09,FIT-601,81,36
2023-01-10,FIT-101,151,123
2023-01-10,FIT-102,29,52
2023-01-10,FIT-103,21,40
2023-01-10,FIT-201,112,42
2023-01-10,FIT-202,102,53
2023-01-10,FIT-203,18,34
2023-01-10,FIT-204,147,40
2023-01-10,FIT-205,117,52
2023-01-10,FIT-301,65,55
2023-01-10,FIT-302,140,59
2023-01-10,FIT-303,101,19
2023-01-10,FIT-304,55,38
2023-01-10,FIT-401,201,92
2023-01-10,FIT-402,29,30
2023-01-10,FIT-501,141,41
2023-01-10,FIT-502,78,42
2023-01-10,FIT-503,62,23
2023-01-10,FIT-601,84,34
2023-01-11,FIT-101,149,123
2023-01-11,FIT-102,22,53
2023-01-11,FIT-103,20,40
2023-01-11,FIT-201,112,45
2023-01-11,FIT-202,104,51
2023-01-11,FIT-203,10,33
2023-01-11,FIT-204,147,36
2023-01-11,FIT-205,119,54
2023-01-11,FIT-301,65,50
2023-01-11,FIT-302,141,57
2023-01-11,FIT-303,97,21
2023-01-11,FIT-304,61,38
2023-01-11,FIT-401,204,92
2023-01-11,FIT-402,28,30
2023-01-11,FIT-501,142,40
2023-01-11,FIT-502,81,38
2023-01-11,FIT-503,62,23
2023-01-11,FIT-601,77,37
2023-01-12,FIT-101,151,124
2023-01-12,FIT-102,24,53
2023-01-12,FIT-103,18,40
2023-01-12,FIT-201,120,44
2023-01-12,FIT-202,107,54
2023-01-12,FIT-203,16,35
2023-01-12,FIT-204,140,41
2023-01-12,FIT-205,116,54
2023-01-12,FIT-301,62,53
2023-01-12,FIT-302,138,59
2023-01-12,FIT-303,94,23
2023-01-12,FIT-304,53,35
2023-01-12,FIT-401,204,93
2023-01-12,FIT-402,32,32
2023-01-12,FIT-501,139,44
2023-01-12,FIT-502,74,38
2023-01-12,FIT-503,64,23
2023-01-12,FIT-601,83,31
2023-01-13,FIT-101,150,124
2023-01-13,FIT-102,26,52
2023-01-13,FIT-103,16,37
2023-01-13,FIT-201,111,40
2023-01-13,FIT-202,110,48
2023-01-13,FIT-203,19,38
2023-01-13,FIT-204,149,36
2023-01-13,FIT-205,123,-51
2023-01-13,FIT-301,65,54
2023-01-13,FIT-302,145,58
2023-01-13,FIT-303,93,22
2023-01-13,FIT-304,59,38
2023-01-13,FIT-401,201,93
2023-01-13,FIT-402,27,33
2023-01-13,FIT-501,143,42
2023-01-13,FIT-502,79,41
2023-01-13,FIT-503,59,26
2023-01-13,FIT-601,83,31
2023-01-14,FIT-101,151,124
2023-01-14,FIT-102,23,54
2023-01-14,FIT-103,16,42
2023-01-14,FIT-201,115,39
2023-01-14,FIT-202,105,50
2023-01-14,FIT-203,17,33
2023-01-14,FIT-204,145,41
2023-01-14,FIT-205,124,50
2023-01-14,FIT-301,66,53
2023-01-14,FIT-302,144,58
2023-01-14,FIT-303,101,-23
2023-01-14,FIT-304,56,39
2023-01-14,FIT-401,201,93
2023-01-14,FIT-402,25,29
2023-01-14,FIT-501,143,45
2023-01-14,FIT-502,80,42
2023-01-14,FIT-503,57,25
2023-01-14,FIT-601,79,31
2023-01-15,FIT-101,149,125
2023-01-15,FIT-102,29,51
2023-01-15,FIT-103,21,39
2023-01-15,FIT-201,113,45
2023-01-15,FIT-202,107,48
2023-01-15,FIT-203,16,34
2023-01-15,FIT-204,142,-35
2023-01-15,FIT-205,122,49
2023-01-15,FIT-301,68,51
2023-01-15,FIT-302,142,62
2023-01-15,FIT-303,96,19
2023-01-15,FIT-304,58,37
2023-01-15,FIT-401,201,93
2023-01-15,FIT-402,32,27
2023-01-15,FIT-501,142,43
2023-01-15,FIT-502,80,42
2023-01-15,FIT-503,65,23
2023-01-15,FIT-601,82,32
2023-01-16,FIT-101,150,125
2023-01-16,FIT-102,30,54
2023-01-16,FIT-103,18,40
2023-01-16,FIT-201,121,39
2023-01-16,FIT-202,110,54
2023-01-16,FIT-203,10,36
2023-01-16,FIT-204,143,40
2023-01-16,FIT-205,125,53
2023-01-16,FIT-301,64,56
2023-01-16,FIT-302,148,56
2023-01-16,FIT-303,101,17
2023-01-16,FIT-304,52,36
2023-01-16,FIT-401,202,94
2023-01-16,FIT-402,35,30
2023-01-16,FIT-501,142,45
2023-01-16,FIT-502,81,41
2023-01-16,FIT-503,64,-22
2023-01-16,FIT-601,81,31
2023-01-17,FIT-101,151,125
2023-01-17,FIT-102,23,57
2023-01-17,FIT-103,20,42
2023-01-17,FIT-201,112,40
2023-01-17,FIT-202,111,48
2023-01-17,FIT-203,10,38
2023-01-17,FIT-204,143,35
2023-01-17,FIT-205,117,54
2023-01-17,FIT-301,65,55
2023-01-17,FIT-302,143,57
2023-01-17,FIT-303,100,19
2023-01-17,FIT-304,53,33
2023-01-17,FIT-401,199,94
2023-01-17,FIT-402,29,33
2023-01-17,FIT-501,135B,40
2023-01-17,FIT-502,78,38
2023-01-17,FIT-503,58,23
2023-01-17,FIT-601,78,37
2023-01-18,FIT-101,151,-126
2023-01-18,FIT-102,20,51
2023-01-18,FIT-103,17,42
2023-01-18,FIT-201,115,39
2023-01-18,FIT-202,108,51
2023-01-18,FIT-203,18,36
2023-01-18,FIT-204,144,39
2023-01-18,FIT-205,120,51
2023-01-18,FIT-301,69,50
2023-01-18,FIT-302,147,57
2023-01-18,FIT-303,101,21
2023-01-18,FIT-304,62,34
2023-01-18,FIT-401,203,94
2023-01-18,FIT-402,27,29
2023-01-18,FIT-501,144,45
2023-01-18,FIT-502,81,41
2023-01-18,FIT-503,56,21
2023-01-18,FIT-601,76,36
2023-01-19,FIT-101,151,126
2023-01-19,FIT-102,24,54
2023-01-19,FIT-103,24,39
2023-01-19,FIT-201,116e,40
2023-01-19,FIT-202,105,54
2023-01-19,FIT-203,16,36
2023-01-19,FIT-204,145,41
2023-01-19,FIT-205,125,50
2023-01-19,FIT-301,69,56
2023-01-19,FIT-302,145,60
2023-01-19,FIT-303,95,23
2023-01-19,FIT-304,60,38
2023-01-19,FIT-401,202,94
2023-01-19,FIT-402,26,33
2023-01-19,FIT-501,139,42
2023-01-19,FIT-502,75b,41
2023-01-19,FIT-503,60,23
2023-01-19,FIT-601,77,37
2023-01-20,FIT-101,150,126
2023-01-20,FIT-102,24,-53
2023-01-20,FIT-103,21,38
2023-01-20,FIT-201,120,43
2023-01-20,FIT-202,111,50
2023-01-20,FIT-203,19,37
2023-01-20,FIT-204,141,37
2023-01-20,FIT-205,117,50
2023-01-20,FIT-301,63,53
2023-01-20,FIT-302,141,56
2023-01-20,FIT-303,102,17
2023-01-20,FIT-304,55,33
2023-01-20,FIT-401,204,95
2023-01-20,FIT-402,34,28
2023-01-20,FIT-501,138,40
2023-01-20,FIT-502,80,43
2023-01-20,FIT-503,63,21
2023-01-20,FIT-601,84,31
2023-01-21,FIT-101,151,127
2023-01-21,FIT-102,24,54
2023-01-21,FIT-103,17,41
2023-01-21,FIT-201,112,39
2023-01-21,FIT-202,102,54
2023-01-21,FIT-203,11,38
2023-01-21,FIT-204,140,35
2023-01-21,FIT-205,123,53
2023-01-21,FIT-301,61,51
2023-01-21,FIT-302,141,60
2023-01-21,FIT-303,96,20
2023-01-21,FIT-304,55,37
2023-01-21,FIT-401,205,95
2023-01-21,FIT-402,25,30
2023-01-21,FIT-501,143,44
2023-01-21,FIT-502,74,38
2023-01-21,FIT-503,60,23
2023-01-21,FIT-601,75,35
2023-01-22,FIT-101,152,127
2023-01-22,FIT-102,28,57
2023-01-22,FIT-103,25,36
2023-01-22,FIT-201,118,42
2023-01-22,FIT-202,112,52
2023-01-22,FIT-203,16,33
2023-01-22,FIT-204,141,40
2023-01-22,FIT-205,115,48
2023-01-22,FIT-301,63,54
2023-01-22,FIT-302,141,62
2023-01-22,FIT-303,99,22
2023-01-22,FIT-304,56,37
2023-01-22,FIT-401,205,95
2023-01-22,FIT-402,29,33
2023-01-22,FIT-501,144,40
2023-01-22,FIT-502,79,39
2023-01-22,FIT-503,59,24
2023-01-22,FIT-601,75,36
2023-01-23,FIT-101,151,127
2023-01-23,FIT-102,26,57
2023-01-23,FIT-103,15,42
2023-01-23,FIT-201,116,41
2023-01-23,FIT-202,107,49
2023-01-23,FIT-203,10,34
2023-01-23,FIT-204,140,36
2023-01-23,FIT-205,124,50
2023-01-23,FIT-301,63,52
2023-01-23,FIT-302,141,62
2023-01-23,FIT-303,93,21
2023-01-23,FIT-304,53,35
2023-01-23,FIT-401,203,95
2023-01-23,FIT-402,32,33
2023-01-23,FIT-501,144,40
2023-01-23,FIT-502,73,41
2023-01-23,FIT-503,61,22
2023-01-23,FIT-601,75,33
2023-01-24,FIT-101,151,128
2023-01-24,FIT-102,22,57
2023-01-24,FIT-103,19,39
2023-01-24,FIT-201,115,43
2023-01-24,FIT-202,105,54
2023-01-24,FIT-203,19,37
2023-01-24,FIT-204,149,40
2023-01-24,FIT-205,116,51
2023-01-24,FIT-301,62,50
2023-01-24,FIT-302,138,62
2023-01-24,FIT-303,99,22
2023-01-24,FIT-304,52,38
2023-01-24,FIT-401,204,96
2023-01-24,FIT-402,35i,27
2023-01-24,FIT-501,142,45
2023-01-24,FIT-502,71,38
2023-01-24,FIT-503,56,26
2023-01-24,FIT-601,75,37
2023-01-25,FIT-101,151,128
2023-01-25,FIT-102,26,56
2023-01-25,FIT-103,18,41
2023-01-25,FIT-201,113,42
2023-01-25,FIT-202,104,51
2023-01-25,FIT-203,18,38
2023-01-25,FIT-204,148,36
2023-01-25,FIT-205,118,52
2023-01-25,FIT-301,62,53
2023-01-25,FIT-302,148,62
2023-01-25,FIT-303,94,20
2023-01-25,FIT-304,55,38
2023-01-25,FIT-401,202,96
2023-01-25,FIT-402,32,33
2023-01-25,FIT-501,134,41
2023-01-25,FIT-502,79,41
2023-01-25,FIT-503,58,21
2023-01-25,FIT-601,81,35
2023-01-26,FIT-101,150,128
2023-01-26,FIT-102,28,52
2023-01-26,FIT-103,20,41
2023-01-26,FIT-201,116,42
2023-01-26,FIT-202,106,54
2023-01-26,FIT-203,18,33
2023-01-26,FIT-204,143,41
2023-01-26,FIT-205,120,53
2023-01-26,FIT-301,65,52
2023-01-26,FIT-302,138,61
2023-01-26,FIT-303,95,18
2023-01-26,FIT-304,53,37
2023-01-26,FIT-401,203,96
2023-01-26,FIT-402,31,32
2023-01-26,FIT-501,137,43
2023-01-26,FIT-502,80,38
2023-01-26,FIT-503,65,23
2023-01-26,FIT-601,76,31
2023-01-27,FIT-101,150,129
2023-01-27,FIT-102,25,56
2023-01-27,FIT-103,19,36
2023-01-27,FIT-201,115,42
2023-01-27,FIT-202,108,49
2023-01-27,FIT-203,19,34
2023-01-27,FIT-204,149,38
2023-01-27,FIT-205,119,49
2023-01-27,FIT-301,65,51
2023-01-27,FIT-302,140,62
2023-01-27,FIT-303,100,22
2023-01-27,FIT-304,61,35
2023-01-27,FIT-401,199,96
2023-01-27,FIT-402,27,33
2023-01-27,FIT-501,134,40
2023-01-27,FIT-502,75,43
2023-01-27,FIT-503,57,27
2023-01-27,FIT-601,75,31
2023-01-28,FIT-101,152,129
2023-01-28,FIT-102,27y,54
2023-01-28,FIT-103,22,36
2023-01-28,FIT-201,118,40
2023-01-28,FIT-202,102,50
2023-01-28,FIT-203,20,38
2023-01-28,FIT-204,141,36
2023-01-28,FIT-205,120,52
2023-01-28,FIT-301,65,52
2023-01-28,FIT-302,146,58
2023-01-28,FIT-303,102,22
2023-01-28,FIT-304,59,39
2023-01-28,FIT-401,205,97
2023-01-28,FIT-402,28,27
2023-01-28,FIT-501,137,42
2023-01-28,FIT-502,73,38
2023-01-28,FIT-503,58,27
2023-01-28,FIT-601,81,33
2023-01-29,FIT-101,151,129
2023-01-29,FIT-102,"29,",56
2023-01-29,FIT-103,18,37
2023-01-29,FIT-201,113,44
2023-01-29,FIT-202,107,51
2023-01-29,FIT-203,12,39
2023-01-29,FIT-204,145,40
2023-01-29,FIT-205,118,48
2023-01-29,FIT-301,67,50
2023-01-29,FIT-302,140,62
2023-01-29,FIT-303,102,17
2023-01-29,FIT-304,54,33
2023-01-29,FIT-401,204,97
2023-01-29,FIT-402,28,31
2023-01-29,FIT-501,137,46
2023-01-29,FIT-502,78,44
2023-01-29,FIT-503,64,22
2023-01-29,FIT-601,75,-35
2023-01-30,FIT-101,152,130
2023-01-30,FIT-102,24,54
2023-01-30,FIT-103,22,36
2023-01-30,FIT-201,113,40
2023-01-30,FIT-202,103,51
2023-01-30,FIT-203,10,34
2023-01-30,FIT-204,145,38
2023-01-30,FIT-205,118,51
2023-01-30,FIT-301,64,54
2023-01-30,FIT-302,143,60
2023-01-30,FIT-303,92,19
2023-01-30,FIT-304,56,38
2023-01-30,FIT-401,200,97
2023-01-30,FIT-402,26,31
2023-01-30,FIT-501,142,45
2023-01-30,FIT-502,75,39
2023-01-30,FIT-503,66,25
2023-01-30,FIT-601,75,34
2023-01-31,FIT-101,150,130
2023-01-31,FIT-102,20,51
2023-01-31,FIT-103,19,37
2023-01-31,FIT-201,115,42
2023-01-31,FIT-202,110,48
2023-01-31,FIT-203,13,39
2023-01-31,FIT-204,141,38
2023-01-31,FIT-205,118,49
2023-01-31,FIT-301,60,53
2023-01-31,FIT-302,143,62
2023-01-31,FIT-303,94,18
2023-01-31,FIT-304,60,37
2023-01-31,FIT-401,204,97
2023-01-31,FIT-402,34,32
2023-01-31,FIT-501,138,44
2023-01-31,FIT-502,75,39
2023-01-31,FIT-503,66,26
2023-01-31,FIT-601,81,31
2023-02-01,FIT-101,152,130
2023-02-01,FIT-102,22,56
2023-02-01,FIT-103,24,41
2023-02-01,FIT-201,119,41
2023-02-01,FIT-202,112,50
2023-02-01,FIT-203,10,33
2023-02-01,FIT-204,145,38
2023-02-01,FIT-205,123o,53
2023-02-01,FIT-301,63,53
2023-02-01,FIT-302,141,62
2023-02-01,FIT-303,102,22
2023-02-01,FIT-304,57,35
2023-02-01,FIT-401,206,98
2023-02-01,FIT-402,26,31
2023-02-01,FIT-501,140,41
2023-02-01,FIT-502,73,38
2023-02-01,FIT-503,63,24
2023-02-01,FIT-601,80,35
2023-02-02,FIT-101,151,131
2023-02-02,FIT-102,29,51
2023-02-02,FIT-103,20,41
2023-02-02,FIT-201,117,44
2023-02-02,FIT-202,109,52
2023-02-02,FIT-203,20,35
2023-02-02,FIT-204,145,38
2023-02-02,FIT-205,124,52
2023-02-02,FIT-301,60,54
2023-02-02,FIT-302,144,56
2023-02-02,FIT-303,94,19
2023-02-02,FIT-304,53,33
2023-02-02,FIT-401,205,98
2023-02-02,FIT-402,26,32
2023-02-02,FIT-501,135,43
2023-02-02,FIT-502,75,44
2023-02-02,FIT-503,66,24
2023-02-02,FIT-601,81,32
2023-02-03,FIT-101,151,131
2023-02-03,FIT-102,22,-56
2023-02-03,FIT-103,15,36
2023-02-03,FIT-201,113,41
2023-02-03,FIT-202,108,49
2023-02-03,FIT-203,10,34
2023-02-03,FIT-204,147,38
2023-02-03,FIT-205,121,52
2023-02-03,FIT-301,66,50
2023-02-03,FIT-302,148,62
2023-02-03,FIT-303,99,21
2023-02-03,FIT-304,52,33
2023-02-03,FIT-401,204,98
2023-02-03,FIT-402,35,31
2023-02-03,FIT-501,143,45
2023-02-03,FIT-502,77,38
2023-02-03,FIT-503,64,21
2023-02-03,FIT-601,85,-33
2023-02-04,FIT-101,152,131
2023-02-04,FIT-102,27,54
2023-02-04,FIT-103,19,41
2023-02-04,FIT-201,115,44
2023-02-04,FIT-202,105,48
2023-02-04,FIT-203,11,38
2023-02-04,FIT-204,149,38
2023-02-04,FIT-205,122,51
2023-02-04,FIT-301,60,50
2023-02-04,FIT-302,146,-62
2023-02-04,FIT-303,94,17
2023-02-04,FIT-304,54,36
2023-02-04,FIT-401,203,98
2023-02-04,FIT-402,26,30
2023-02-04,FIT-501,137,-40
2023-02-04,FIT-502,73,39
2023-02-04,FIT-503,57,25
2023-02-04,FIT-601,83,37
2023-02-05,FIT-101,152,-132
2023-02-05,FIT-102,26,53
2023-02-05,FIT-103,18,36
2023-02-05,FIT-201,116,42
2023-02-05,FIT-202,112U,53
2023-02-05,FIT-203,14,39
2023-02-05,FIT-204,146,35
2023-02-05,FIT-205,115,49
2023-02-05,FIT-301,63,50
2023-02-05,FIT-302,145,58
2023-02-05,FIT-303,92,18
2023-02-05,FIT-304,56,39
2023-02-05,FIT-401,203,99
2023-02-05,FIT-402,35M,32
2023-02-05,FIT-501,137,46
2023-02-05,FIT-502,76,41
2023-02-05,FIT-503,61,25
2023-02-05,FIT-601,77,32
2023-02-06,FIT-101,150,132
2023-02-06,FIT-102,22,52
2023-02-06,FIT-103,20,38
2023-02-06,FIT-201,120,41
2023-02-06,FIT-202,102,50
2023-02-06,FIT-203,17,37
2023-02-06,FIT-204,144,40
2023-02-06,FIT-205,120,49
2023-02-06,FIT-301,60,55
2023-02-06,FIT-302,141,59
2023-02-06,FIT-303,100,21
2023-02-06,FIT-304,61,35
2023-02-06,FIT-401,206,99
2023-02-06,FIT-402,30,33
2023-02-06,FIT-501,135,41
2023-02-06,FIT-502,76,43
2023-02-06,FIT-503,65,24
2023-02-06,FIT-601,80,35
2023-02-07,FIT-101,152,132
2023-02-07,FIT-102,29,56
2023-02-07,FIT-103,20,40
2023-02-07,FIT-201,117,39
2023-02-07,FIT-202,103,49
2023-02-07,FIT-203,18,39
2023-02-07,FIT-204,148,40
2023-02-07,FIT-205,121,53
2023-02-07,FIT-301,65,51
2023-02-07,FIT-302,145,62
2023-02-07,FIT-303,98,17
2023-02-07,FIT-304,57,37
2023-02-07,FIT-401,201,99
2023-02-07,FIT-402,33,28
2023-02-07,FIT-501,134,-46
2023-02-07,FIT-502,78,44
2023-02-07,FIT-503,66,21
2023-02-07,FIT-601,82,32
2023-02-08,FIT-101,151,133
2023-02-08,FIT-102,26,57
2023-02-08,FIT-103,25,36
2023-02-08,FIT-201,117,45
2023-02-08,FIT-202,112,53
2023-02-08,FIT-203,10,33
2023-02-08,FIT-204,142,41
2023-02-08,FIT-205,119,53
2023-02-08,FIT-301,60,55
2023-02-08,FIT-302,148,56
2023-02-08,FIT-303,98,17
2023-02-08,FIT-304,57,37
2023-02-08,FIT-401,206,99
2023-02-08,FIT-402,32,33
2023-02-08,FIT-501,136,41
2023-02-08,FIT-502,76,39
2023-02-08,FIT-503,63,27
2023-02-08,FIT-601,77,34
2023-02-09,FIT-101,153,133
2023-02-09,FIT-102,21,54
2023-02-09,FIT-103,23,36
2023-02-09,FIT-201,120,39
2023-02-09,FIT-202,102,48
2023-02-09,FIT-203,14,39
2023-02-09,FIT-204,143,39
2023-02-09,FIT-205,121,52
2023-02-09,FIT-301,61,56
2023-02-09,FIT-302,145,61
2023-02-09,FIT-303,94,20
2023-02-09,FIT-304,57,37
2023-02-09,FIT-401,207,100
2023-02-09,FIT-402,28,33
2023-02-09,FIT-501,144,42
2023-02-09,FIT-502,76,42
2023-02-09,FIT-503,64,27
2023-02-09,FIT-601,75,31
2023-02-10,FIT-101,152,133
2023-02-10,FIT-102,22,57
2023-02-10,FIT-103,25,42
2023-02-10,FIT-201,120,41
2023-02-10,FIT-202,102,50
2023-02-10,FIT-203,15,35
2023-02-10,FIT-204,141,38
2023-02-10,FIT-205,116,48
2023-02-10,FIT-301,64,52
2023-02-10,FIT-302,140,57
2023-02-10,FIT-303,94,22
2023-02-10,FIT-304,58,39
2023-02-10,FIT-401,205,100
2023-02-10,FIT-402,31,32
2023-02-10,FIT-501,137,42
2023-02-10,FIT-502,80,44
2023-02-10,FIT-503,63,22
2023-02-10,FIT-601,80,36
2023-02-11,FIT-101,151,134
2023-02-11,FIT-102,24,52
2023-02-11,FIT-103,23,38
2023-02-11,FIT-201,113,40
2023-02-11,FIT-202,112,53
2023-02-11,FIT-203,18,38
2023-02-11,FIT-204,144,35
2023-02-11,FIT-205,122,48
2023-02-11,FIT-301,70,52
2023-02-11,FIT-302,147,56
2023-02-11,FIT-303,100,21
2023-02-11,FIT-304,55,36
2023-02-11,FIT-401,206,100
2023-02-11,FIT-402,25,30
2023-02-11,FIT-501,143,42
2023-02-11,FIT-502,72,44
2023-02-11,FIT-503,66,21
2023-02-11,FIT-601,83,33
2023-02-12,FIT-101,151,134
2023-02-12,FIT-102,27,56
2023-02-12,FIT-103,19,40
2023-02-12,FIT-201,116,39
2023-02-12,FIT-202,105,52
2023-02-12,FIT-203,16,35
2023-02-12,FIT-204,144,39
2023-02-12,FIT-205,116,48
2023-02-12,FIT-301,64,56
2023-02-12,FIT-302,147,59
2023-02-12,FIT-303,94,-22
2023-02-12,FIT-304,56,36
2023-02-12,FIT-401,203,100
2023-02-12,FIT-402,31,28
2023-02-12,FIT-501,138,46
2023-02-12,FIT-502,81,39
2023-02-12,FIT-503,58,27
2023-02-12,FIT-601,84,35
2023-02-13,FIT-101,152,134
2023-02-13,FIT-102,24,54
2023-02-13,FIT-103,16,39
2023-02-13,FIT-201,118,41
2023-02-13,FIT-202,103,50
2023-02-13,FIT-203,14,34
2023-02-13,FIT-204,144,40
2023-02-13,FIT-205,122,53
2023-02-13,FIT-301,67,53
2023-02-13,FIT-302,140,56
2023-02-13,FIT-303,96,19
2023-02-13,FIT-304,52,38
2023-02-13,FIT-401,206,101
2023-02-13,FIT-402,30,29
2023-02-13,FIT-501,142,-45
2023-02-13,FIT-502,78,40
2023-02-13,FIT-503,58,24
2023-02-13,FIT-601,81,34
2023-02-14,FIT-101,151,135
2023-02-14,FIT-102,24,53
2023-02-14,FIT-103,23,42
2023-02-14,FIT-201,111,45
2023-02-14,FIT-202,105,51
2023-02-14,FIT-203,16,37
2023-02-14,FIT-204,145,36
2023-02-14,FIT-205,115,54
2023-02-14,FIT-301,67,55
2023-02-14,FIT-302,143,-57
2023-02-14,FIT-303,93,20
2023-02-14,FIT-304,53,36
2023-02-14,FIT-401,204,101
2023-02-14,FIT-402,35,33
2023-02-14,FIT-501,137,44
2023-02-14,FIT-502,72,38
2023-02-14,FIT-503,66,25
2023-02-14,FIT-601,84,37
2023-02-15,FIT-101,152X,135
2023-02-15,FIT-102,29,54
2023-02-15,FIT-103,24,40
2023-02-15,FIT-201,116,42
2023-02-15,FIT-202,109,50
2023-02-15,FIT-203,12,33
2023-02-15,FIT-204,148,38
