Date,ShiftID,EmployeeID,Hours_Worked
2023-02-13,SH-201672,FTS-13,8
2023-02-13,SH-201673,FTS-14,8
2023-02-13,SH-201674,FTS-15,8
2023-02-13,SH-201675,PT-201,8
2023-02-13,SH-201676,PT-202,8
2023-02-13,SH-201677,PT-203,8
2023-02-13,SH-201678,PT-204,8
2023-02-13,SH-201679,PT-205,8
2023-02-13,SH-201680,PT-206,8
2023-02-13,SH-201681,PT-207,8
2023-02-13,SH-201682,PT-208,8
2023-02-13,SH-201683,PT-209,8
2023-02-13,SH-201684,PT-210,8
2023-02-13,SH-201685,PT-211,8
2023-02-13,SH-201686,PT-212,8
2023-02-13,SH-201687,PT-213,8
2023-02-13,SH-201688,PT-214,8
2023-02-13,SH-201689,PT-215,8
2023-02-13,SH-201690,PT-216,8
2023-02-13,SH-201691,PT-217,8
2023-02-13,SH-201692,PT-218,8
2023-02-13,SH-201693,PT-219,8
2023-02-13,SH-201694,PT-220,8
2023-02-13,SH-201695,PT-221,8
2023-02-13,SH-201696,PT-222,8
2023-02-13,SH-201697,PT-223,8
2023-02-13,SH-201698,PT-224,8
2023-02-13,SH-201699,PT-225,8
2023-02-13,SH-201700,PT-226,8
2023-02-13,SH-201701,PT-227,8
2023-02-13,SH-201702,PT-228,8
2023-02-13,SH-201703,PT-229,8
2023-02-13,SH-201704,PT-230,8
2023-02-14,SH-201705,FT-101,8
2023-02-14,SH-201706,FT-102,8
2023-02-14,SH-201707,FT-103,8
2023-02-14,SH-201708,FT-104,8
2023-02-14,SH-201709,FT-105,8
2023-02-14,SH-201710,FT-106,8
2023-02-14,SH-201711,FT-107,8
2023-02-14,SH-201712,FT-108,8
2023-02-14,SH-201713,FT-109,8
2023-02-14,SH-201714,FT-110,8
2023-02-14,SH-201715,FT-111,8
2023-02-14,SH-201716,FT-112,8
2023-02-14,SH-201717,FT-113,8
2023-02-14,SH-201718,FT-114,8
2023-02-14,SH-201719,FT-115,8
2023-02-14,SH-201720,FT-116,8
2023-02-14,SH-201721,FT-117,8
2023-02-14,SH-201722,FT-118,8
2023-02-14,SH-201723,FT-119,8
2023-02-14,SH-201724,FT-120,8
2023-02-14,SH-201725,FTS-11,8
2023-02-14,SH-201726,FTS-12,8
2023-02-14,SH-201727,FTS-13,8
2023-02-14,SH-201728,FTS-14,8
2023-02-14,SH-201729,FTS-15,8
2023-02-14,SH-201730,PT-201,8
2023-02-14,SH-201731,PT-202,8
2023-02-14,SH-201732,PT-203,8
2023-02-14,SH-201733,PT-204,8
2023-02-14,SH-201734,PT-205,8
2023-02-14,SH-201735,PT-206,8
2023-02-14,SH-201736,PT-207,8
2023-02-14,SH-201737,PT-208,8
2023-02-14,SH-201738,PT-209,8
2023-02-14,SH-201739,PT-210,8
2023-02-14,SH-201740,PT-211,8
2023-02-14,SH-201741,PT-212,8
2023-02-14,SH-201742,PT-213,8
2023-02-14,SH-201743,PT-214,8
2023-02-14,SH-201744,PT-215,8
2023-02-14,SH-201745,PT-216,8
2023-02-14,SH-201746,PT-217,8
2023-02-14,SH-201747,PT-218,8
2023-02-14,SH-201748,PT-219,8
2023-02-14,SH-201749,PT-220,8
2023-02-14,SH-201750,PT-221,8
2023-02-14,SH-201751,PT-222,8
2023-02-14,SH-201752,PT-223,8
2023-02-14,SH-201753,PT-224,8
2023-02-14,SH-201754,PT-225,8
2023-02-14,SH-201755,PT-226,8
2023-02-14,SH-201756,PT-227,8
2023-02-14,SH-201757,PT-228,8
2023-02-14,SH-201758,PT-229,8
2023-02-14,SH-201759,PT-230,8
2023-05-03,SH-204110,FT-101,8
2023-05-03,SH-204111,FT-102,8
2023-05-03,SH-204112,FT-103,8
2023-05-03,SH-204113,FT-104,8
2023-05-03,SH-204114,FT-105,8
2023-05-03,SH-204115,FT-106,8
2023-05-03,SH-204116,FT-107,8
2023-05-03,SH-204117,FT-108,8
2023-05-03,SH-204118,FT-109,8
2023-05-03,SH-204119,FT-110,8
2023-05-03,SH-204120,FT-111,8
2023-05-03,SH-204121,FT-112,8
2023-05-03,SH-204122,FT-113,8
2023-05-03,SH-204123,FT-114,8
2023-05-03,SH-204124,FT-115,8
2023-05-03,SH-204125,FT-116,8
2023-05-03,SH-204126,FT-117,8
2023-05-03,SH-204127,FT-118,8
2023-05-03,SH-204128,FT-119,8
2023-05-03,SH-204129,FT-120,8
2023-05-03,SH-204130,FTS-11,8
2023-05-03,SH-204131,FTS-12,8
2023-05-03,SH-204132,FTS-13,8
2023-05-03,SH-204133,FTS-14,8
2023-05-03,SH-204134,FTS-15,8
2023-05-03,SH-204135,PT-201,6
2023-05-03,SH-204136,PT-202,6
2023-05-03,SH-204137,PT-203,6
2023-05-03,SH-204138,PT-204,6
2023-05-03,SH-204139,PT-205,6
2023-05-03,SH-204140,PT-206,6
2023-05-03,SH-204141,PT-207,6
2023-05-03,SH-204142,PT-208,6
2023-05-03,SH-204143,PT-209,6
2023-05-03,SH-204144,PT-210,6
2023-05-03,SH-204145,PT-211,6
2023-05-03,SH-204146,PT-212,6
2023-05-03,SH-204147,PT-213,6
2023-05-03,SH-204148,PT-214,6
2023-05-03,SH-204149,PT-215,6
2023-02-22,SH-202035,FT-101,8
2023-02-22,SH-202036,FT-102,8
2023-02-22,SH-202037,FT-103,8
2023-02-22,SH-202038,FT-104,8
2023-02-22,SH-202039,FT-105,8
2023-02-22,SH-202040,FT-106,8
2023-02-22,SH-202041,FT-107,8
2023-02-22,SH-202042,FT-108,8
2023-02-22,SH-202043,FT-109,8
2023-02-22,SH-202044,FT-110,8
2023-02-22,SH-202045,FT-111,8
2023-02-22,SH-202046,FT-112,8
2023-02-22,SH-202047,FT-113,8
2023-02-22,SH-202048,FT-114,8
2023-02-22,SH-202049,FT-115,8
2023-02-22,SH-202050,FT-116,8
2023-02-22,SH-202051,FT-117,8
2023-02-22,SH-202052,FT-118,8
2023-02-22,SH-202053,FT-119,8
2023-02-22,SH-202054,FT-120,8
2023-02-22,SH-202055,FTS-11,8
2023-02-22,SH-202056,FTS-12,8
2023-02-22,SH-202057,FTS-13,8
2023-02-22,SH-202058,FTS-14,8
2023-02-22,SH-202059,FTS-15,8
2023-02-22,SH-202060,PT-201,8
2023-02-22,SH-202061,PT-202,8
2023-02-22,SH-202062,PT-203,8
2023-02-22,SH-202063,PT-204,8
2023-02-22,SH-202064,PT-205,8
2023-02-22,SH-202065,PT-206,8
2023-02-22,SH-202066,PT-207,8
2023-02-22,SH-202067,PT-208,8
2023-02-22,SH-202068,PT-209,8
2023-02-22,SH-202069,PT-210,8
2023-02-22,SH-202070,PT-211,8
2023-02-22,SH-202071,PT-212,8
2023-02-22,SH-202072,PT-213,8
2023-02-22,SH-202073,PT-214,8
2023-02-22,SH-202074,PT-215,8
2023-02-22,SH-202075,PT-216,8
2023-02-22,SH-202076,PT-217,8
2023-02-22,SH-202077,PT-218,8
2023-02-22,SH-202078,PT-219,8
2023-02-22,SH-202079,PT-220,8
2023-02-22,SH-202080,PT-221,8
2023-02-22,SH-202081,PT-222,8
2023-02-22,SH-202082,PT-223,8
2023-02-22,SH-202083,PT-224,8
2023-02-22,SH-202084,PT-225,8
2023-02-22,SH-202085,PT-226,8
2023-02-22,SH-202086,PT-227,8
2023-02-22,SH-202087,PT-228,8
2023-02-22,SH-202088,PT-229,8
2023-02-22,SH-202089,PT-230,8
2023-01-05,SH-200165,FT-101,8
2023-01-05,SH-200166,FT-102,8
2023-01-05,SH-200167,FT-103,8
2023-01-05,SH-200168,FT-104,8
2023-01-05,SH-200169,FT-105,8
2023-01-05,SH-200170,FT-106,8
2023-01-05,SH-200171,FT-107,8
2023-01-05,SH-200172,FT-108,8
2023-01-05,SH-200173,FT-109,8
2023-01-05,SH-200174,FT-110,8
2023-01-05,SH-200175,FT-111,8
2023-01-05,SH-200176,FT-112,8
2023-01-05,SH-200177,FT-113,8
2023-01-05,SH-200178,FT-114,8
2023-01-05,SH-200179,FT-115,8
2023-01-05,SH-200180,FT-116,8
2023-01-05,SH-200181,FT-117,8
2023-01-05,SH-200182,FT-118,8
2023-01-05,SH-200183,FT-119,8
2023-01-05,SH-200184,FT-120,8
2023-01-05,SH-200185,FTS-11,8
2023-01-05,SH-200186,FTS-12,8
2023-01-05,SH-200187,FTS-13,8
2023-01-05,SH-200188,FTS-14,8
2023-01-05,SH-200189,FTS-15,8
2023-01-05,SH-200190,PT-201,8
2023-01-05,SH-200191,PT-202,8
2023-01-05,SH-200192,PT-203,8
2023-01-05,SH-200193,PT-204,8
2023-01-05,SH-200194,PT-205,8
2023-01-05,SH-200195,PT-206,8
2023-01-05,SH-200196,PT-207,8
2023-01-05,SH-200197,PT-208,8
2023-01-05,SH-200198,PT-209,8
2023-01-05,SH-200199,PT-210,8
2023-01-05,SH-200200,PT-211,8
2023-01-05,SH-200201,PT-212,8
2023-01-05,SH-200202,PT-213,8
2023-01-05,SH-200203,PT-214,8
2023-01-05,SH-200204,PT-215,8
2023-01-05,SH-200205,PT-216,8
2023-01-05,SH-200206,PT-217,8
2023-01-05,SH-200207,PT-218,8
2023-01-05,SH-200208,PT-219,8
2023-01-05,SH-200209,PT-220,8
2023-01-05,SH-200210,PT-221,8
2023-01-05,SH-200211,PT-222,8
2023-01-05,SH-200212,PT-223,8
2023-01-05,SH-200213,PT-224,8
2023-01-05,SH-200214,PT-225,8
2023-01-05,SH-200215,PT-226,8
2023-01-05,SH-200216,PT-227,8
2023-01-05,SH-200217,PT-228,8
2023-01-05,SH-200218,PT-229,8
2023-01-05,SH-200219,PT-230,8
2023-06-12,SH-205160,FT-101,8
2023-06-12,SH-205161,FT-102,8
2023-06-12,SH-205162,FT-103,8
2023-06-12,SH-205163,FT-104,8
2023-06-12,SH-205164,FT-105,8
2023-06-12,SH-205165,FT-106,8
2023-06-12,SH-205166,FT-107,8
2023-06-12,SH-205167,FT-108,8
2023-06-12,SH-205168,FT-109,8
2023-06-12,SH-205169,FT-110,8
2023-06-12,SH-205170,FT-111,8
2023-06-12,SH-205171,FT-112,8
2023-06-12,SH-205172,FT-113,8
2023-06-12,SH-205173,FT-114,8
2023-06-12,SH-205174,FT-115,8
2023-06-12,SH-205175,FT-116,8
2023-06-12,SH-205176,FT-117,8
2023-06-12,SH-205177,FT-118,8
2023-06-12,SH-205178,FT-119,8
2023-06-12,SH-205179,FT-120,8
2023-06-12,SH-205180,FTS-11,8
2023-06-12,SH-205181,FTS-12,8
2023-06-12,SH-205182,FTS-13,8
2023-06-12,SH-205183,FTS-14,8
2023-06-12,SH-205184,FTS-15,8
2023-06-12,SH-205185,PT-201,4
2023-06-12,SH-205186,PT-202,4
2023-06-12,SH-205187,PT-203,4
2023-06-12,SH-205188,PT-204,4
2023-06-12,SH-205189,PT-205,4
2023-06-15,SH-205250,FT-101,8
2023-06-15,SH-205251,FT-102,8
2023-06-15,SH-205252,FT-103,8
2023-06-15,SH-205253,FT-104,8
2023-06-15,SH-205254,FT-105,8
2023-06-15,SH-205255,FT-106,8
2023-06-15,SH-205256,FT-107,8
2023-06-15,SH-205257,FT-108,8
2023-06-15,SH-205258,FT-109,8
2023-06-15,SH-205259,FT-110,8
2023-06-15,SH-205260,FT-111,8
2023-06-15,SH-205261,FT-112,8
2023-06-15,SH-205262,FT-113,8
2023-06-15,SH-205263,FT-114,8
2023-06-15,SH-205264,FT-115,8
2023-06-15,SH-205265,FT-116,8
2023-06-15,SH-205266,FT-117,8
2023-06-15,SH-205267,FT-118,8
2023-06-15,SH-205268,FT-119,8
2023-06-15,SH-205269,FT-120,8
2023-06-15,SH-205270,FTS-11,8
2023-06-15,SH-205271,FTS-12,8
2023-06-15,SH-205272,FTS-13,8
2023-06-15,SH-205273,FTS-14,8
2023-06-15,SH-205274,FTS-15,8
2023-06-15,SH-205275,PT-201,4
2023-06-15,SH-205276,PT-202,4
2023-06-15,SH-205277,PT-203,4
2023-06-15,SH-205278,PT-204,4
2023-06-15,SH-205279,PT-205,4
2023-01-02,SH-200000,FT-101,8
2023-01-02,SH-200001,FT-102,8
2023-01-02,SH-200002,FT-103,8
2023-01-02,SH-200003,FT-104,8
2023-01-02,SH-200004,FT-105,8
2023-01-02,SH-200005,FT-106,8
2023-01-02,SH-200006,FT-107,8
2023-01-02,SH-200007,FT-108,8
2023-01-02,SH-200008,FT-109,8
2023-01-02,SH-200009,FT-110,8
2023-01-02,SH-200010,FT-111,8
2023-01-02,SH-200011,FT-112,8
2023-01-02,SH-200012,FT-113,8
2023-01-02,SH-200013,FT-114,8
2023-01-02,SH-200014,FT-115,8
2023-01-02,SH-200015,FT-116,8
2023-01-02,SH-200016,FT-117,8
2023-01-02,SH-200017,FT-118,8
2023-01-02,SH-200018,FT-119,8
2023-01-02,SH-200019,FT-120,8
2023-01-02,SH-200020,FTS-11,8
2023-01-02,SH-200021,FTS-12,8
2023-01-02,SH-200022,FTS-13,8
2023-01-02,SH-200023,FTS-14,8
2023-01-02,SH-200024,FTS-15,8
2023-01-02,SH-200025,PT-201,8
2023-01-02,SH-200026,PT-202,8
2023-01-02,SH-200027,PT-203,8
2023-01-02,SH-200028,PT-204,8
2023-01-02,SH-200029,PT-205,8
2023-01-02,SH-200030,PT-206,8
2023-01-02,SH-200031,PT-207,8
2023-01-02,SH-200032,PT-208,8
2023-01-02,SH-200033,PT-209,8
2023-01-02,SH-200034,PT-210,8
2023-01-02,SH-200035,PT-211,8
2023-01-02,SH-200036,PT-212,8
2023-01-02,SH-200037,PT-213,8
2023-01-02,SH-200038,PT-214,8
2023-01-02,SH-200039,PT-215,8
2023-01-02,SH-200040,PT-216,8
2023-01-02,SH-200041,PT-217,8
2023-01-02,SH-200042,PT-218,8
2023-01-02,SH-200043,PT-219,8
2023-01-02,SH-200044,PT-220,8
2023-01-02,SH-200045,PT-221,8
2023-01-02,SH-200046,PT-222,8
2023-01-02,SH-200047,PT-223,8
2023-01-02,SH-200048,PT-224,8
2023-01-02,SH-200049,PT-225,8
2023-01-02,SH-200050,PT-226,8
2023-01-02,SH-200051,PT-227,8
2023-01-02,SH-200052,PT-228,8
2023-01-02,SH-200053,PT-229,8
2023-01-02,SH-200054,PT-230,8
2023-12-25,SH-209750,FT-101,8
2023-12-25,SH-209751,FT-102,8
2023-12-25,SH-209752,FT-103,8
2023-12-25,SH-209753,FT-104,8
2023-12-25,SH-209754,FT-105,8
2023-12-25,SH-209755,FT-106,8
2023-12-25,SH-209756,FT-107,8
2023-12-25,SH-209757,FT-108,8
2023-12-25,SH-209758,FT-109,8
2023-12-25,SH-209759,FT-110,8
2023-12-25,SH-209760,FT-111,8
2023-12-25,SH-209761,FT-112,8
2023-12-25,SH-209762,FT-113,8
2023-12-25,SH-209763,FT-114,8
2023-12-25,SH-209764,FT-115,8
2023-12-25,SH-209765,FT-116,8
2023-12-25,SH-209766,FT-117,8
2023-12-25,SH-209767,FT-118,8
2023-12-25,SH-209768,FT-119,8
2023-12-25,SH-209769,FT-120,8
2023-12-25,SH-209770,FTS-11,8
2023-12-25,SH-209771,FTS-12,8
2023-12-25,SH-209772,FTS-13,8
2023-12-25,SH-209773,FTS-14,8
2023-12-25,SH-209774,FTS-15,8
2023-12-25,SH-209775,PT-201,8
2023-12-25,SH-209776,PT-202,8
2023-12-25,SH-209777,PT-203,8
2023-12-25,SH-209778,PT-204,8
2023-12-25,SH-209779,PT-205,8
2023-12-25,SH-209780,PT-206,8
2023-12-25,SH-209781,PT-207,8
2023-12-25,SH-209782,PT-208,8
2023-12-25,SH-209783,PT-209,8
2023-12-25,SH-209784,PT-210,8
2023-12-25,SH-209785,PT-211,8
2023-12-25,SH-209786,PT-212,8
2023-12-25,SH-209787,PT-213,8
2023-12-25,SH-209788,PT-214,8
2023-12-25,SH-209789,PT-215,8
2023-12-25,SH-209790,PT-216,8
2023-12-25,SH-209791,PT-217,8
2023-12-25,SH-209792,PT-218,8
2023-12-25,SH-209793,PT-219,8
2023-12-25,SH-209794,PT-220,8
2023-12-25,SH-209795,PT-221,8
2023-12-25,SH-209796,PT-222,8
2023-12-25,SH-209797,PT-223,8
2023-12-25,SH-209798,PT-224,8
2023-12-25,SH-209799,PT-225,8
2023-12-25,SH-209800,PT-226,8
2023-12-25,SH-209801,PT-227,8
2023-12-25,SH-209802,PT-228,8
2023-12-25,SH-209803,PT-229,8
2023-12-25,SH-209804,PT-230,8
2023-11-02,SH-208345,FT-101,8
2023-11-02,SH-208346,FT-102,8
2023-11-02,SH-208347,FT-103,8
2023-11-02,SH-208348,FT-104,8
2023-11-02,SH-208349,FT-105,8
2023-11-02,SH-208350,FT-106,8
2023-11-02,SH-208351,FT-107,8
2023-11-02,SH-208352,FT-108,8
2023-11-02,SH-208353,FT-109,8
2023-11-02,SH-208354,FT-110,8
2023-11-02,SH-208355,FT-111,8
2023-11-02,SH-208356,FT-112,8
2023-11-02,SH-208357,FT-113,8
2023-11-02,SH-208358,FT-114,8
2023-11-02,SH-208359,FT-115,8
2023-11-02,SH-208360,FT-116,8
2023-11-02,SH-208361,FT-117,8
2023-11-02,SH-208362,FT-118,8
2023-11-02,SH-208363,FT-119,8
2023-11-02,SH-208364,FT-120,8
2023-11-02,SH-208365,FTS-11,8
2023-11-02,SH-208366,FTS-12,8
2023-11-02,SH-208367,FTS-13,8
2023-11-02,SH-208368,FTS-14,8
2023-11-02,SH-208369,FTS-15,8
2023-12-22,SH-209695,FT-101,8
2023-12-22,SH-209696,FT-102,8
2023-12-22,SH-209697,FT-103,8
2023-12-22,SH-209698,FT-104,8
2023-12-22,SH-209699,FT-105,8
2023-12-22,SH-209700,FT-106,8
2023-12-22,SH-209701,FT-107,8
2023-12-22,SH-209702,FT-108,8
2023-12-22,SH-209703,FT-109,8
2023-12-22,SH-209704,FT-110,8
2023-12-22,SH-209705,FT-111,8
2023-12-22,SH-209706,FT-112,8
2023-12-22,SH-209707,FT-113,8
2023-12-22,SH-209708,FT-114,8
2023-12-22,SH-209709,FT-115,8
2023-12-22,SH-209710,FT-116,8
2023-12-22,SH-209711,FT-117,8
2023-12-22,SH-209712,FT-118,8
2023-12-22,SH-209713,FT-119,8
2023-12-22,SH-209714,FT-120,8
2023-12-22,SH-209715,FTS-11,8
2023-12-22,SH-209716,FTS-12,8
2023-12-22,SH-209717,FTS-13,8
2023-12-22,SH-209718,FTS-14,8
2023-12-22,SH-209719,FTS-15,8
2023-12-22,SH-209720,PT-201,8
2023-12-22,SH-209721,PT-202,8
2023-12-22,SH-209722,PT-203,8
2023-12-22,SH-209723,PT-204,8
2023-12-22,SH-209724,PT-205,8
2023-12-22,SH-209725,PT-206,8
2023-12-22,SH-209726,PT-207,8
2023-12-22,SH-209727,PT-208,8
2023-12-22,SH-209728,PT-209,8
2023-12-22,SH-209729,PT-210,8
2023-12-22,SH-209730,PT-211,8
2023-12-22,SH-209731,PT-212,8
2023-12-22,SH-209732,PT-213,8
2023-12-22,SH-209733,PT-214,8
2023-12-22,SH-209734,PT-215,8
2023-12-22,SH-209735,PT-216,8
2023-12-22,SH-209736,PT-217,8
2023-12-22,SH-209737,PT-218,8
2023-12-22,SH-209738,PT-219,8
2023-12-22,SH-209739,PT-220,8
2023-12-22,SH-209740,PT-221,8
2023-12-22,SH-209741,PT-222,8
2023-12-22,SH-209742,PT-223,8
2023-12-22,SH-209743,PT-224,8
2023-12-22,SH-209744,PT-225,8
2023-12-22,SH-209745,PT-226,8
2023-12-22,SH-209746,PT-227,8
2023-12-22,SH-209747,PT-228,8
2023-12-22,SH-209748,PT-229,8
2023-12-22,SH-209749,PT-230,8
2023-12-14,SH-209365,FT-101,8
2023-12-14,SH-209366,FT-102,8
2023-12-14,SH-209367,FT-103,8
2023-12-14,SH-209368,FT-104,8
2023-12-14,SH-209369,FT-105,8
2023-12-14,SH-209370,FT-106,8
2023-12-14,SH-209371,FT-107,8
2023-12-14,SH-209372,FT-108,8
2023-12-14,SH-209373,FT-109,8
2023-12-14,SH-209374,FT-110,8
2023-12-14,SH-209375,FT-111,8
2023-12-14,SH-209376,FT-112,8
2023-12-14,SH-209377,FT-113,8
2023-12-14,SH-209378,FT-114,8
2023-12-14,SH-209379,FT-115,8
2023-12-14,SH-209380,FT-116,8
2023-12-14,SH-209381,FT-117,8
2023-12-14,SH-209382,FT-118,8
2023-12-14,SH-209383,FT-119,8
2023-12-14,SH-209384,FT-120,8
2023-12-14,SH-209385,FTS-11,8
2023-12-14,SH-209386,FTS-12,8
2023-12-14,SH-209387,FTS-13,8
2023-12-14,SH-209388,FTS-14,8
2023-12-14,SH-209389,FTS-15,8
2023-12-14,SH-209390,PT-201,8
2023-12-14,SH-209391,PT-202,8
2023-12-14,SH-209392,PT-203,8
2023-12-14,SH-209393,PT-204,8
2023-12-14,SH-209394,PT-205,8
2023-12-14,SH-209395,PT-206,8
2023-12-14,SH-209396,PT-207,8
2023-12-14,SH-209397,PT-208,8
2023-12-14,SH-209398,PT-209,8
2023-12-14,SH-209399,PT-210,8
2023-12-14,SH-209400,PT-211,8
2023-12-14,SH-209401,PT-212,8
2023-12-14,SH-209402,PT-213,8
2023-12-14,SH-209403,PT-214,8
2023-12-14,SH-209404,PT-215,8
2023-12-14,SH-209405,PT-216,8
2023-12-14,SH-209406,PT-217,8
2023-12-14,SH-209407,PT-218,8
2023-12-14,SH-209408,PT-219,8
2023-12-14,SH-209409,PT-220,8
2023-12-14,SH-209410,PT-221,8
2023-12-14,SH-209411,PT-222,8
2023-12-14,SH-209412,PT-223,8
2023-12-14,SH-209413,PT-224,8
2023-12-14,SH-209414,PT-225,8
2023-12-14,SH-209415,PT-226,8
2023-12-14,SH-209416,PT-227,8
2023-12-14,SH-209417,PT-228,8
2023-12-14,SH-209418,PT-229,8
2023-12-14,SH-209419,PT-230,8
2023-09-07,SH-207090,FT-101,8
2023-09-07,SH-207091,FT-102,8
2023-09-07,SH-207092,FT-103,8
2023-09-07,SH-207093,FT-104,8
2023-09-07,SH-207094,FT-105,8
2023-09-07,SH-207095,FT-106,8
2023-09-07,SH-207096,FT-107,8
2023-09-07,SH-207097,FT-108,8
2023-09-07,SH-207098,FT-109,8
2023-09-07,SH-207099,FT-110,8
2023-09-07,SH-207100,FT-111,8
2023-09-07,SH-207101,FT-112,8
2023-09-07,SH-207102,FT-113,8
2023-09-07,SH-207103,FT-114,8
2023-09-07,SH-207104,FT-115,8
2023-09-07,SH-207105,FT-116,8
2023-09-07,SH-207106,FT-117,8
2023-09-07,SH-207107,FT-118,8
2023-09-07,SH-207108,FT-119,8
2023-09-07,SH-207109,FT-120,8
2023-09-07,SH-207110,FTS-11,8
2023-09-07,SH-207111,FTS-12,8
2023-09-07,SH-207112,FTS-13,8
2023-09-07,SH-207113,FTS-14,8
2023-09-07,SH-207114,FTS-15,8
2023-09-07,SH-207115,PT-201,6
2023-09-07,SH-207116,PT-202,6
2023-09-07,SH-207117,PT-203,6
2023-09-07,SH-207118,PT-204,6
2023-09-07,SH-207119,PT-205,6
2023-09-07,SH-207120,PT-206,6
2023-09-07,SH-207121,PT-207,6
2023-09-07,SH-207122,PT-208,6
2023-09-07,SH-207123,PT-209,6
2023-09-07,SH-207124,PT-210,6
2023-09-07,SH-207125,PT-211,6
2023-09-07,SH-207126,PT-212,6
2023-09-07,SH-207127,PT-213,6
2023-09-07,SH-207128,PT-214,6
2023-09-07,SH-207129,PT-215,6
2023-12-13,SH-209310,FT-101,8
2023-12-13,SH-209311,FT-102,8
2023-12-13,SH-209312,FT-103,8
2023-12-13,SH-209313,FT-104,8
2023-12-13,SH-209314,FT-105,8
2023-12-13,SH-209315,FT-106,8
2023-12-13,SH-209316,FT-107,8
2023-12-13,SH-209317,FT-108,8
2023-12-13,SH-209318,FT-109,8
2023-12-13,SH-209319,FT-110,8
2023-12-13,SH-209320,FT-111,8
2023-12-13,SH-209321,FT-112,8
2023-12-13,SH-209322,FT-113,8
2023-12-13,SH-209323,FT-114,8
2023-12-13,SH-209324,FT-115,8
2023-12-13,SH-209325,FT-116,8
2023-12-13,SH-209326,FT-117,8
2023-12-13,SH-209327,FT-118,8
